id,exposure
100012,0.911704312
1000135,0.473648186
100020,0.169746749
100046,0.465434634
1000605,0.24366872
100062,0.911704312
1000926,0.865160849
1000972,0.728268309
1001036,0.980150582
1001284,0.999315537
100133,0.908966461
1001521,0.859685147
1001635,0.865160849
1001808,0.295687885
1001823,0.271047228
1002056,0.429842574
1002102,0.999315537
1002189,0.728268309
1002292,0.574948665
100247,0.906228611
1002590,0.481861739
100263,0.457221081
1002797,0.865160849
1002860,0.495550993
1002941,0.314852841
1002953,0.199863108
1003056,0.574948665
1003088,0.574948665
100309,0.525667351
1003179,0.20807666
1003331,0.199863108
100358,0.906228611
1003926,0.199863108
1004195,0.043805613
1004278,0.424366872
1004349,0.574948665
100443,0.525667351
1004471,0.607802875
100469,0.752908967
1005046,0.301163587
1005227,0.574948665
100530,0.525667351
100542,0.224503765
100551,0.194387406
1005772,0.862422998
1005973,0.999315537
1006016,0.83504449
1006027,0.375085558
1006374,0.167008898
1006631,0.602327173
1006670,0.046543463
1006717,0.136892539
1006721,0.424366872
100673,0.906228611
1006792,0.046543463
1006891,0.865160849
1007009,0.046543463
1007024,0.791238878
1007032,0.046543463
1007073,0.481861739
1007136,0.481861739
1007336,0.479123888
1007414,0.791238878
1007432,0.473648186
1007625,0.481861739
100768,0.906228611
1007865,0.388774812
1008019,0.479123888
1008129,0.807665982
1008227,0.810403833
1008318,0.183436003
1008361,0.180698152
1008409,0.432580424
1008685,0.199863108
1008898,0.481861739
100890,0.235455168
100898,0.911704312
1008996,0.440793977
100918,0.911704312
1009195,0.865160849
1009203,0.865160849
1009268,0.481861739
1009325,0.772073922
100953,0.911704312
1009548,0.481861739
1009715,0.125941136
1009952,0.046543463
100996,0.911704312
1010180,0.481861739
1010217,0.20807666
1010707,0.183436003
1010750,0.046543463
1011286,0.588637919
101130,0.908966461
1011310,0.588637919
1011330,0.588637919
1011373,0.588637919
1011468,0.588637919
1011538,0.041067762
1011539,0.588637919
1011551,0.769336071
1011566,0.588637919
101157,0.906228611
1011582,0.588637919
1011618,0.588637919
1011652,0.046543463
1011661,0.410677618
1011711,0.046543463
1011767,0.588637919
101181,0.906228611
1011819,0.588637919
101183,0.785763176
1011862,0.588637919
101187,0.525667351
1011870,0.588637919
1011897,0.588637919
1012000,0.588637919
1012023,0.588637919
1012090,0.588637919
1012215,0.865160849
1012216,0.810403833
1012232,0.588637919
1012248,0.145106092
1012299,0.410677618
1012362,0.588637919
1012441,0.588637919
1012547,0.254620123
1012555,0.410677618
101260,0.906228611
1012658,0.002737851
101268,0.906228611
1012709,0.588637919
1012721,0.336755647
1012851,0.588637919
1012886,0.588637919
1012894,0.588637919
1012902,0.588637919
1012989,0.588637919
1013048,0.810403833
1013071,0.588637919
101311,0.906228611
1013114,0.588637919
1013126,0.703627652
1013150,0.511978097
1013177,0.410677618
1013201,0.588637919
1013315,0.588637919
1013332,0.071184121
1013351,0.588637919
1013359,0.588637919
1013456,0.043805613
1013489,0.588637919
1013552,0.588637919
1013623,0.410677618
1013690,0.410677618
1013698,0.588637919
1013812,0.410677618
1013848,0.183436003
1013898,0.20807666
1013925,0.574948665
1013962,0.588637919
1014060,0.588637919
1014087,0.588637919
1014153,0.574948665
101418,0.10403833
1014217,0.588637919
1014304,0.588637919
1014340,0.588637919
1014348,0.588637919
101437,0.906228611
1014383,0.588637919
101445,0.999315537
1014525,0.588637919
1014528,0.574948665
1014532,0.046543463
1014544,0.700889802
1014549,0.999315537
1014742,0.183436003
1014793,0.306639288
1014821,0.588637919
1014856,0.588637919
101504,0.911704312
1015073,0.306639288
1015076,0.410677618
1015167,0.810403833
1015206,0.410677618
1015321,0.410677618
1015356,0.410677618
1015371,0.676249144
1015372,0.454483231
1015459,0.588637919
1015522,0.284736482
1015589,0.588637919
1015817,0.999315537
1015837,0.588637919
1015845,0.410677618
101592,0.342231348
1015975,0.796714579
1016026,0.810403833
1016136,0.588637919
1016151,0.20807666
1016231,0.588637919
1016353,0.569472964
1016361,0.588637919
1016369,0.082135524
1016448,0.180698152
1016491,0.410677618
1016499,0.410677618
1016598,0.810403833
1016663,0.424366872
101670,0.908966461
1016720,0.588637919
1016728,0.588637919
1016755,0.410677618
1016797,0.046543463
1016956,0.588637919
1016964,0.410677618
1017019,0.344969199
1017046,0.410677618
1017054,0.588637919
1017105,0.588637919
1017220,0.588637919
1017342,0.002737851
1017401,0.588637919
1017500,0.810403833
1017558,0.046543463
1017622,0.588637919
1017665,0.183436003
1017681,0.588637919
1017689,0.588637919
1017760,0.588637919
1017795,0.588637919
101792,0.908966461
1018012,0.588637919
1018185,0.810403833
1018374,0.588637919
1018390,0.008213552
1018504,0.271047228
1018512,0.588637919
10186,0.405201917
1018670,0.410677618
1018792,0.588637919
1018828,0.588637919
1018879,0.410677618
1018934,0.410677618
1018950,0.588637919
1018958,0.588637919
101903,0.744695414
1019117,0.046543463
1019178,0.588637919
1019197,0.199863108
1019241,0.588637919
1019758,0.810403833
101977,0.908966461
1019966,0.183436003
1020020,0.005475702
1020059,0.807665982
1020080,0.265571526
1020232,0.183436003
1020338,0.862422998
102048,0.123203285
10208,0.854209446
102099,0.999315537
102119,0.906228611
1021391,0.156057495
102154,0.999315537
1021563,0.17522245
1021846,0.572210815
1021939,0.810403833
1022039,0.572210815
1022085,0.268309377
102249,0.087611225
102265,0.246406571
1022721,0.090349076
102273,0.246406571
102276,0.911704312
102300,0.906228611
1023312,0.862422998
1023404,0.479123888
102363,0.911704312
102371,0.911704312
1023885,0.479123888
1023907,0.862422998
1023975,0.183436003
102426,0.06844627
1024364,0.596851472
102457,0.147843943
1024597,0.060232717
1024804,0.120465435
102489,0.147843943
102501,0.221765914
102536,0.125941136
1025505,0.268309377
1025750,0.632443532
1025793,0.268309377
1025803,0.183436003
102587,0.147843943
1025890,0.815879535
1025894,0.807665982
102595,0.309377139
102607,0.093086927
1026177,0.810403833
102631,0.298425736
102651,0.906228611
1026904,0.268309377
102694,0.906228611
102710,0.052019165
1027382,0.845995893
1027545,0.473648186
102757,0.093086927
1027734,0.810403833
1027763,0.268309377
1027986,0.810403833
102852,0.908966461
1028604,0.183436003
102875,0.413415469
102891,0.147843943
102903,0.911704312
1029122,0.268309377
